ip,Protocol,dst,src,len0,len1,len2
0,3,0,1,1,6895,54,40,0,0,0
0,6,0,1,1,0,73,59,0,0,0
0,1,0,1,1,0,67,53,0,0,0
0,1,0,1,1,0,60,30,0,0,0
0,1,0,1,1,0,67,53,0,0,0
0,1,0,1,1,0,60,30,0,0,0
0,6,0,1,1,0,139,125,0,0,0
0,6,0,1,1,0,79,65,0,0,0
0,1,0,1,1,0,67,53,0,0,0
0,1,0,1,1,0,60,30,0,0,0
0,6,0,1,1,0,99,85,0,0,0
0,3,0,1,1,65535,62,48,0,0,0
0,3,0,1,1,5840,62,48,0,0,0
0,3,0,1,1,65535,60,40,0,0,0
0,2,0,1,1,5840,103,89,49,0,0
1,2,0,1,1,65486,105,91,51,0,0
0,3,0,1,1,5840,54,40,0,0,0
0,2,0,1,1,5840,76,62,22,0,0
1,2,0,1,1,65464,93,79,39,0,0
0,2,0,1,1,5840,68,54,14,0,0
1,2,0,1,1,65450,94,80,40,0,0
0,2,0,1,1,5840,68,54,14,0,0
1,2,0,1,1,65436,60,46,6,0,0
0,2,0,1,1,5840,91,77,37,0,0
1,2,0,1,1,65399,976,962,922,0,0
0,6,0,1,1,0,194,180,0,0,0
0,6,0,1,1,0,98,84,0,0,0
0,3,0,1,1,7376,54,40,0,0,0
